category	explanation	question	opt0	opt1	opt2	opt3	gold
OTHER	It's our annual year-end news quiz, compiled with the help of Kathie Baker and Tim Goodman. You are given new names in the news — people you probably never heard of before 2011, but who became famous during the past 12 months. Explain why they're famous.	Kim Jong Un	He married Kim Kardashian for 72 days	He's the new North Korean leader	the new intelligence software system for the iPhone that answers questions for you.	Gilad Shalit is the Israeli soldier who was released from captivity in exchange for many Palestinians	1
OTHER	It's our annual year-end news quiz, compiled with the help of Kathie Baker and Tim Goodman. You are given new names in the news — people you probably never heard of before 2011, but who became famous during the past 12 months. Explain why they're famous.	Gilad Shalit	Gilad Shalit is the Israeli soldier who was released from captivity in exchange for many Palestinians	the new intelligence software system for the iPhone that answers questions for you.	He was a Tunisian street vendor whose self-immolation martyrdom triggered the Arab Spring and led to the overthrow of the Tunisian government	He's the new North Korean leader	0
OTHER	It's our annual year-end news quiz, compiled with the help of Kathie Baker and Tim Goodman. You are given new names in the news — people you probably never heard of before 2011, but who became famous during the past 12 months. Explain why they're famous.	Mohammed Bouazizi	Gilad Shalit is the Israeli soldier who was released from captivity in exchange for many Palestinians	He's the new North Korean leader	He was a Tunisian street vendor whose self-immolation martyrdom triggered the Arab Spring and led to the overthrow of the Tunisian government	the new intelligence software system for the iPhone that answers questions for you.	2
OTHER	It's our annual year-end news quiz, compiled with the help of Kathie Baker and Tim Goodman. You are given new names in the news — people you probably never heard of before 2011, but who became famous during the past 12 months. Explain why they're famous.	Kris Humphries	He was a Tunisian street vendor whose self-immolation martyrdom triggered the Arab Spring and led to the overthrow of the Tunisian government	He married Kim Kardashian for 72 days	He is a Christian radio broadcaster. He predicted the end of the world twice. First in May, and when the date passed without the world ending, the recalculated and figured out it was going to be in October.	the new intelligence software system for the iPhone that answers questions for you.	1
OTHER	It's our annual year-end news quiz, compiled with the help of Kathie Baker and Tim Goodman. You are given new names in the news — people you probably never heard of before 2011, but who became famous during the past 12 months. Explain why they're famous.	Watson	"the computer that played ""Jeopardy!"""	the new intelligence software system for the iPhone that answers questions for you.	Gilad Shalit is the Israeli soldier who was released from captivity in exchange for many Palestinians	He was a Tunisian street vendor whose self-immolation martyrdom triggered the Arab Spring and led to the overthrow of the Tunisian government	0
OTHER	It's our annual year-end news quiz, compiled with the help of Kathie Baker and Tim Goodman. You are given new names in the news — people you probably never heard of before 2011, but who became famous during the past 12 months. Explain why they're famous.	Siri	the new intelligence software system for the iPhone that answers questions for you.	He's the new North Korean leader	He is a Christian radio broadcaster. He predicted the end of the world twice. First in May, and when the date passed without the world ending, the recalculated and figured out it was going to be in October.	He was a Tunisian street vendor whose self-immolation martyrdom triggered the Arab Spring and led to the overthrow of the Tunisian government	0
I.E; WORDPLAY	Every answer is a two-word phrase in which the first word starts with O. Drop the O, and you'll get a new word that ends the phrase.	male resident of Muscat	Oscar’s scars	oblige Blige	Oman man	ozone zone	2
I.E; WORDPLAY	Every answer is a two-word phrase in which the first word starts with O. Drop the O, and you'll get a new word that ends the phrase.	statue of a lion made out of a butter substitute	omission mission	oblige Blige	oleo leo	Oman man	2
I.E; WORDPLAY	Every answer is a two-word phrase in which the first word starts with O. Drop the O, and you'll get a new word that ends the phrase.	very wise Arkansas Indian	oblige Blige	Osage sage	Oman man	oleo leo	1
I.E; WORDPLAY	Every answer is a two-word phrase in which the first word starts with O. Drop the O, and you'll get a new word that ends the phrase.	area high in the atmosphere where the air is thin	orange range	Oman man	omission mission	ozone zone	3
I.E; WORDPLAY	Every answer is a two-word phrase in which the first word starts with O. Drop the O, and you'll get a new word that ends the phrase.	pumpkin colored stove	oleo leo	Osage sage	orange range	Oscar’s scars	2
I.E; WORDPLAY	Every answer is a two-word phrase in which the first word starts with O. Drop the O, and you'll get a new word that ends the phrase.	accommodate R&B singer Mary J	orange range	Oscar’s scars	oblige Blige	Osage sage	2
I.E; WORDPLAY	Every answer is a two-word phrase in which the first word starts with O. Drop the O, and you'll get a new word that ends the phrase.	grouchy muppet’s marks left by wounds	oleo leo	Osage sage	Oscar’s scars	orange range	2
I.E; WORDPLAY	Every answer is a two-word phrase in which the first word starts with O. Drop the O, and you'll get a new word that ends the phrase.	job to find what is left out	omission mission	Osage sage	oleo leo	oblige Blige	0
I.E	Every answer today is the name of a famous person whose first initial and last name, in order, spell a word. For example, take Benjamin Rush, signer of the Declaration of Independence. The B of Benjamin + his last name spells BRUSH. I'll give you clues to the parts. You give me the names.	Oscar-winning actor (3,5) — expression of appreciation	Tom Hanks, thanks	Diana Ross, dross	Chris Rock, crock	Teri Hatcher	0
I.E	Every answer today is the name of a famous person whose first initial and last name, in order, spell a word. For example, take Benjamin Rush, signer of the Declaration of Independence. The B of Benjamin + his last name spells BRUSH. I'll give you clues to the parts. You give me the names.	Singer with the Supremes (5,4) — worthless stuff	Fred Allen, fallen	Teri Hatcher	Diana Ross, dross	Courtney Love, clove	2
I.E	Every answer today is the name of a famous person whose first initial and last name, in order, spell a word. For example, take Benjamin Rush, signer of the Declaration of Independence. The B of Benjamin + his last name spells BRUSH. I'll give you clues to the parts. You give me the names.	Former baseball star (4,4) — writing that's not poetry	Teri Hatcher	Pete Rose, prose	Fred Allen, fallen	Courtney Love, clove	1
I.E	Every answer today is the name of a famous person whose first initial and last name, in order, spell a word. For example, take Benjamin Rush, signer of the Declaration of Independence. The B of Benjamin + his last name spells BRUSH. I'll give you clues to the parts. You give me the names.	Comedian and former host of the Oscars (5,4) — earthenware pot	Courtney Love, clove	Tom Hanks, thanks	Teri Hatcher	Chris Rock, crock	3
I.E	Every answer today is the name of a famous person whose first initial and last name, in order, spell a word. For example, take Benjamin Rush, signer of the Declaration of Independence. The B of Benjamin + his last name spells BRUSH. I'll give you clues to the parts. You give me the names.	Singer with the group Hole (8,4) — garlic bulb	Diana Ross, dross	Pete Rose, prose	Chris Rock, crock	Courtney Love, clove	3
I.E	Every answer today is the name of a famous person whose first initial and last name, in order, spell a word. For example, take Benjamin Rush, signer of the Declaration of Independence. The B of Benjamin + his last name spells BRUSH. I'll give you clues to the parts. You give me the names.	Oldtime comedian with a radio show (4,5) — opposite of risen	Courtney Love, clove	Fred Allen, fallen	Pete Rose, prose	Teri Hatcher	1
I.E	Every answer today is the name of a famous person whose first initial and last name, in order, spell a word. For example, take Benjamin Rush, signer of the Declaration of Independence. The B of Benjamin + his last name spells BRUSH. I'll give you clues to the parts. You give me the names.	"Co-star of """"Desperate Housewives"""" (4,7) — former British prime minister"	Fred Allen, fallen	Diana Ross, dross	Teri Hatcher	Pete Rose, prose	2
ANAGRAM	Every answer today is the name of a fabric or clothing material. You name it from its anagram.	LIKES - E	corduroy	silk	denim	rayon	1
ANAGRAM	Every answer today is the name of a fabric or clothing material. You name it from its anagram.	ON LOW - N	cashmere	crepe	wool	dacron	2
ANAGRAM	Every answer today is the name of a fabric or clothing material. You name it from its anagram.	NOTARY - T	cashmere	cotton	rayon	denim	2
ANAGRAM	Every answer today is the name of a fabric or clothing material. You name it from its anagram.	MAIDEN - A	satin	dacron	denim	cotton	2
ANAGRAM	Every answer today is the name of a fabric or clothing material. You name it from its anagram.	ANTICS - C	cotton	satin	dacron	cashmere	1
ANAGRAM	Every answer today is the name of a fabric or clothing material. You name it from its anagram.	ARCHLY - H	lycra	silk	cashmere	dacron	0
ANAGRAM	Every answer today is the name of a fabric or clothing material. You name it from its anagram.	RECIPE - I	crepe	wool	silk	denim	0
ANAGRAM	Every answer today is the name of a fabric or clothing material. You name it from its anagram.	CONTORT - R	dacron	cotton	silk	cashmere	1
ANAGRAM	Every answer today is the name of a fabric or clothing material. You name it from its anagram.	CALDRON - L	dacron	corduroy	cashmere	wool	0
ANAGRAM	Every answer today is the name of a fabric or clothing material. You name it from its anagram.	REMATCHES - T	wool	cashmere	satin	rayon	1
ANAGRAM	Every answer today is the name of a fabric or clothing material. You name it from its anagram.	YOUR CROWD - W	cashmere	corduroy	cotton	rayon	1
WORDPLAY	I'm going to give you clues for some 5-letter words. Switch the 2nd and 4th letters to make a new word that answers the second clue.	Christmas song / Reef material	carol, coral	linen, Lenin	slime, smile	abode, adobe	0
WORDPLAY	I'm going to give you clues for some 5-letter words. Switch the 2nd and 4th letters to make a new word that answers the second clue.	No longer fresh / Roof material	divas, Davis	stale, slate	resin, risen	carol, coral	1
WORDPLAY	I'm going to give you clues for some 5-letter words. Switch the 2nd and 4th letters to make a new word that answers the second clue.	"Versions in the testing stage / Motel in """"Psycho"""""""	snipe, spine	betas, Bates	tenor, toner	panel, penal	1
WORDPLAY	I'm going to give you clues for some 5-letter words. Switch the 2nd and 4th letters to make a new word that answers the second clue.	Sheets, pillowcases, etc. / First leader of the Soviet Union	betas, Bates	panel, penal	snipe, spine	linen, Lenin	3
WORDPLAY	I'm going to give you clues for some 5-letter words. Switch the 2nd and 4th letters to make a new word that answers the second clue.	Song in the Bible / Blood component	abode, adobe	snipe, spine	stale, slate	psalm, plasm	3
WORDPLAY	I'm going to give you clues for some 5-letter words. Switch the 2nd and 4th letters to make a new word that answers the second clue.	Tree secretion / Up	slime, smile	resin, risen	linen, Lenin	stale, slate	1
